warn: LLAMA_ARG_HOST environment variable is set, but will be overwritten by command line argument --host
0.00.239.446 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.362.086 I srv          init: The UI is disabled
0.00.362.089 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.362.226 W srv  llama_server: -----------------
0.00.362.228 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.362.228 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.362.229 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.362.229 W srv  llama_server: -----------------
0.00.363.543 I srv    load_model: loading model '/models/Qwen3.6-27B-A3B-Coder-CD-IQ4_K_M.gguf'
0.01.873.932 W llama_model_loader: tensor overrides to CPU are used with mmap enabled - consider using --no-mmap for better performance
0.04.238.306 I common_speculative_init_result: creating MTP draft context against the target model '/models/Qwen3.6-27B-A3B-Coder-CD-IQ4_K_M.gguf'
0.04.349.867 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.04.412.220 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.04.412.263 I srv  llama_server: model loaded
0.04.412.268 I srv  llama_server: listening on http://0.0.0.0:8080
0.10.596.345 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.10.596.406 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.10.900.176 I slot print_timing: id  0 | task 0 | prompt eval time =     303.74 ms /    11 tokens (   27.61 ms per token,    36.22 tokens per second)
0.10.900.181 I slot print_timing: id  0 | task 0 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token, 1000000.00 tokens per second)
0.10.900.181 I slot print_timing: id  0 | task 0 |       total time =     303.74 ms /    12 tokens
0.10.900.184 I slot print_timing: id  0 | task 0 |    graphs reused =          1
0.10.900.231 I slot      release: id  0 | task 0 | stop processing: n_tokens = 11, truncated = 0
0.10.916.367 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 189336528589
0.10.997.957 I slot launch_slot_: id  0 | task 3 | processing task, is_child = 0
0.17.123.227 I slot print_timing: id  0 | task 3 | n_decoded =    119, tg =  39.37 t/s, tg_3s =  39.37 t/s
0.19.954.171 I slot print_timing: id  0 | task 3 | prompt eval time =    3102.67 ms /   959 tokens (    3.24 ms per token,   309.09 tokens per second)
0.19.954.178 I slot print_timing: id  0 | task 3 |        eval time =    5853.48 ms /   241 tokens (   24.29 ms per token,    41.17 tokens per second)
0.19.954.178 I slot print_timing: id  0 | task 3 |       total time =    8956.15 ms /  1200 tokens
0.19.954.179 I slot print_timing: id  0 | task 3 |    graphs reused =        133
