warn: LLAMA_ARG_HOST environment variable is set, but will be overwritten by command line argument --host
0.01.299.651 W Setting 'enable_thinking' via --chat-template-kwargs is deprecated. Use --reasoning on / --reasoning off instead.
0.01.300.174 W DEPRECATED: --mmap and --no-mmap are deprecated. use --load-mode mmap instead
0.01.300.585 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.01.443.333 I srv          init: The UI is disabled
0.01.443.336 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.01.446.029 W srv  llama_server: -----------------
0.01.446.031 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.01.446.031 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.01.446.031 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.01.446.031 W srv  llama_server: -----------------
0.01.448.534 I srv    load_model: loading model '/models/Kwaipilot_KAT-Coder-V2.5-Dev-IQ4_XS.gguf'
0.02.589.696 W common_fit_params: failed to fit params to free device memory: model_params::tensor_buft_overrides already set by user, abort
0.45.719.773 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 128000, kv_unified = 'false'
0.45.766.713 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.45.766.766 I srv  llama_server: model loaded
0.45.766.772 I srv  llama_server: listening on http://0.0.0.0:8080
1.02.767.234 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
1.02.767.546 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
1.06.013.544 I slot print_timing: id  0 | task 0 | prompt eval time =    2649.94 ms /   707 tokens (    3.75 ms per token,   266.80 tokens per second)
1.06.013.549 I slot print_timing: id  0 | task 0 |        eval time =     596.03 ms /    27 tokens (   22.08 ms per token,    45.30 tokens per second)
1.06.013.549 I slot print_timing: id  0 | task 0 |       total time =    3245.97 ms /   734 tokens
1.06.013.553 I slot print_timing: id  0 | task 0 |    graphs reused =         26
1.06.013.784 I slot      release: id  0 | task 0 | stop processing: n_tokens = 733, truncated = 0
1.06.031.892 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.965
1.06.032.139 I slot launch_slot_: id  0 | task 31 | processing task, is_child = 0
1.06.733.059 I slot print_timing: id  0 | task 31 | prompt eval time =     113.42 ms /     4 tokens (   28.36 ms per token,    35.27 tokens per second)
1.06.733.063 I slot print_timing: id  0 | task 31 |        eval time =     587.47 ms /    27 tokens (   21.76 ms per token,    45.96 tokens per second)
1.06.733.064 I slot print_timing: id  0 | task 31 |       total time =     700.90 ms /    31 tokens
1.06.733.065 I slot print_timing: id  0 | task 31 |    graphs reused =         51
1.06.733.148 I slot      release: id  0 | task 31 | stop processing: n_tokens = 733, truncated = 0
3.14.025.538 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 356732241274
3.14.171.356 I slot launch_slot_: id  0 | task 59 | processing task, is_child = 0
3.18.374.409 I slot print_timing: id  0 | task 59 | prompt processing, n_tokens =   2048, progress = 0.03, t =   4.20 s / 487.27 tokens per second
3.22.725.471 I slot print_timing: id  0 | task 59 | prompt processing, n_tokens =   4096, progress = 0.05, t =   8.55 s / 478.84 tokens per second
3.27.050.206 I slot print_timing: id  0 | task 59 | prompt processing, n_tokens =   6144, progress = 0.08, t =  12.88 s / 477.06 tokens per second
3.31.396.958 I slot print_timing: id  0 | task 59 | prompt processing, n_tokens =   8192, progress = 0.10, t =  17.23 s / 475.57 tokens per second
3.35.935.487 I slot print_timing: id  0 | task 59 | prompt processing, n_tokens =  10240, progress = 0.13, t =  21.76 s / 470.50 tokens per second
