warn: LLAMA_ARG_HOST environment variable is set, but will be overwritten by command line argument --host
0.00.239.462 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.363.947 I srv          init: The UI is disabled
0.00.363.950 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.364.082 W srv  llama_server: -----------------
0.00.364.083 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.364.084 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.364.084 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.364.084 W srv  llama_server: -----------------
0.00.365.376 I srv    load_model: loading model '/models/Ornith-1.0-9B-MTP-Q6_K.gguf'
0.02.511.338 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 49152, kv_unified = 'false'
0.02.525.090 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.02.525.130 I srv  llama_server: model loaded
0.02.525.136 I srv  llama_server: listening on http://0.0.0.0:8080
0.05.217.336 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.05.217.652 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.08.582.717 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   5576, progress = 0.58, t =   3.37 s / 1657.04 tokens per second
0.09.936.965 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   7624, progress = 0.79, t =   4.72 s / 1615.50 tokens per second
0.11.278.848 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   9181, progress = 0.95, t =   6.06 s / 1514.72 tokens per second
0.11.365.087 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   9693, progress = 1.00, t =   6.15 s / 1576.76 tokens per second
0.14.717.357 I slot print_timing: id  0 | task 0 | n_decoded =    120, tg =  39.88 t/s, tg_3s =  39.88 t/s
0.17.740.134 I slot print_timing: id  0 | task 0 | n_decoded =    240, tg =  39.79 t/s, tg_3s =  39.70 t/s
0.20.740.977 I slot print_timing: id  0 | task 0 | n_decoded =    359, tg =  39.75 t/s, tg_3s =  39.66 t/s
0.23.742.109 I slot print_timing: id  0 | task 0 | n_decoded =    478, tg =  39.72 t/s, tg_3s =  39.65 t/s
0.26.752.775 I slot print_timing: id  0 | task 0 | n_decoded =    597, tg =  39.68 t/s, tg_3s =  39.53 t/s
0.29.764.092 I slot print_timing: id  0 | task 0 | n_decoded =    716, tg =  39.66 t/s, tg_3s =  39.52 t/s
0.32.777.012 I slot print_timing: id  0 | task 0 | n_decoded =    835, tg =  39.63 t/s, tg_3s =  39.50 t/s
0.35.784.937 I slot print_timing: id  0 | task 0 | n_decoded =    954, tg =  39.62 t/s, tg_3s =  39.56 t/s
0.38.797.946 I slot print_timing: id  0 | task 0 | n_decoded =   1073, tg =  39.61 t/s, tg_3s =  39.50 t/s
0.41.814.302 I slot print_timing: id  0 | task 0 | n_decoded =   1192, tg =  39.59 t/s, tg_3s =  39.45 t/s
0.44.834.111 I slot print_timing: id  0 | task 0 | n_decoded =   1311, tg =  39.58 t/s, tg_3s =  39.41 t/s
0.47.858.109 I slot print_timing: id  0 | task 0 | n_decoded =   1430, tg =  39.56 t/s, tg_3s =  39.35 t/s
0.50.878.653 I slot print_timing: id  0 | task 0 | n_decoded =   1549, tg =  39.55 t/s, tg_3s =  39.40 t/s
0.53.880.119 I slot print_timing: id  0 | task 0 | n_decoded =   1667, tg =  39.53 t/s, tg_3s =  39.31 t/s
0.56.882.932 I slot print_timing: id  0 | task 0 | n_decoded =   1785, tg =  39.51 t/s, tg_3s =  39.30 t/s
0.59.887.897 I slot print_timing: id  0 | task 0 | n_decoded =   1903, tg =  39.50 t/s, tg_3s =  39.27 t/s
1.02.891.084 I slot print_timing: id  0 | task 0 | n_decoded =   2021, tg =  39.49 t/s, tg_3s =  39.29 t/s
1.05.905.301 I slot print_timing: id  0 | task 0 | n_decoded =   2139, tg =  39.47 t/s, tg_3s =  39.15 t/s
1.08.912.483 I slot print_timing: id  0 | task 0 | n_decoded =   2257, tg =  39.46 t/s, tg_3s =  39.24 t/s
1.11.925.907 I slot print_timing: id  0 | task 0 | n_decoded =   2375, tg =  39.44 t/s, tg_3s =  39.16 t/s
1.14.943.874 I slot print_timing: id  0 | task 0 | n_decoded =   2493, tg =  39.42 t/s, tg_3s =  39.10 t/s
1.17.960.874 I slot print_timing: id  0 | task 0 | n_decoded =   2611, tg =  39.41 t/s, tg_3s =  39.11 t/s
1.20.971.593 I slot print_timing: id  0 | task 0 | n_decoded =   2729, tg =  39.40 t/s, tg_3s =  39.19 t/s
1.23.985.146 I slot print_timing: id  0 | task 0 | n_decoded =   2847, tg =  39.39 t/s, tg_3s =  39.16 t/s
1.27.007.650 I slot print_timing: id  0 | task 0 | n_decoded =   2965, tg =  39.38 t/s, tg_3s =  39.04 t/s
1.30.032.664 I slot print_timing: id  0 | task 0 | n_decoded =   3083, tg =  39.36 t/s, tg_3s =  39.01 t/s
1.33.036.530 I slot print_timing: id  0 | task 0 | n_decoded =   3200, tg =  39.35 t/s, tg_3s =  38.95 t/s
1.36.059.413 I slot print_timing: id  0 | task 0 | n_decoded =   3318, tg =  39.34 t/s, tg_3s =  39.04 t/s
1.39.061.933 I slot print_timing: id  0 | task 0 | n_decoded =   3435, tg =  39.32 t/s, tg_3s =  38.97 t/s
